Date : 2021-04-29 14:09:33
Directory : e:\wx-miniapp\Mutual Assistance Platform
Total : 136 files,  7089 codes, 679 comments, 885 blanks, all 8653 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| front-end\pages\message\chat                                                                                                                      |          2 |        140 |          7 |          3 |        150 |
| front-end\pages\my                                                                                                                                |         10 |        314 |          6 |          5 |        325 |
| front-end\pages\my\myHelp                                                                                                                         |          4 |        113 |          2 |          2 |        117 |
| front-end\pages\my\myHelp\detail                                                                                                                  |          2 |         53 |          1 |          1 |         55 |
| front-end\pages\my\myPost                                                                                                                         |          4 |        117 |          2 |          3 |        122 |
| front-end\pages\my\myPost\detail                                                                                                                  |          2 |         57 |          1 |          2 |         60 |
| front-end\pages\post                                                                                                                              |          2 |        159 |          8 |          1 |        168 |
| front-end\pages\search                                                                                                                            |          2 |         72 |          1 |          1 |         74 |
| front-end\utils                                                                                                                                   |          2 |         31 |          0 |          8 |         39 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\wx-miniapp\Mutual Assistance Platform\back-end\.mvn\wrapper\MavenWrapperDownloader.java                                                        | Java       |         76 |         31 |         11 |        118 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\.mvn\wrapper\maven-wrapper.properties                                                           | Properties |          2 |          0 |          1 |          3 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\mvnw.cmd                                                                                        | Batch      |         96 |         51 |         36 |        183 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\pom.xml                                                                                         | XML        |         75 |          3 |          4 |         82 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\MutualAssistancePlatformApplication.java      | Java       |         11 |          0 |          5 |         16 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\config\WebSocketStompConfig.java              | Java       |         11 |          0 |          3 |         14 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\controller\AccountController.java             | Java       |         41 |          0 |         13 |         54 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\controller\ChatController.java                | Java       |         21 |          0 |          7 |         28 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\controller\ContentController.java             | Java       |         43 |          0 |         12 |         55 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\controller\MessageController.java             | Java       |         15 |          0 |          5 |         20 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\controller\MyController.java                  | Java       |         30 |          0 |          9 |         39 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\controller\PostController.java                | Java       |         36 |          0 |         11 |         47 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\controller\SearchController.java              | Java       |         17 |          0 |          7 |         24 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\controller\SessionController.java             | Java       |         15 |          0 |          6 |         21 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\entity\Account.java                           | Java       |         21 |          0 |          7 |         28 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\entity\App.java                               | Java       |         35 |          0 |          5 |         40 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\entity\Chat.java                              | Java       |         13 |          0 |          3 |         16 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\entity\Content.java                           | Java       |         18 |          0 |          4 |         22 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\entity\Login.java                             | Java       |         14 |          0 |          5 |         19 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\entity\Message.java                           | Java       |         11 |          0 |          3 |         14 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\entity\MyPost.java                            | Java       |         18 |          0 |          3 |         21 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\entity\Post.java                              | Java       |         20 |          0 |          5 |         25 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\entity\PostDetail.java                        | Java       |         21 |          0 |          4 |         25 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\entity\PostMini.java                          | Java       |         16 |          0 |          3 |         19 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\mapper\AccountMapper.java                     | Java       |         15 |          0 |          9 |         24 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\mapper\ChatMapper.java                        | Java       |         13 |          0 |          7 |         20 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\mapper\ContentMapper.java                     | Java       |         13 |          0 |          6 |         19 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\mapper\LoginMapper.java                       | Java       |         10 |          0 |          5 |         15 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\mapper\MessageMapper.java                     | Java       |         11 |          0 |          6 |         17 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\mapper\MyMapper.java                          | Java       |         12 |          0 |          8 |         20 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\mapper\PostMapper.java                        | Java       |         27 |          0 |         14 |         41 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\mapper\SearchMapper.java                      | Java       |          8 |          0 |          6 |         14 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\mapper\SessionMapper.java                     | Java       |          8 |          0 |          4 |         12 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\AccountService.java                   | Java       |         11 |          0 |         11 |         22 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\ChatService.java                      | Java       |          7 |          0 |          5 |         12 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\ContentService.java                   | Java       |          7 |          0 |          6 |         13 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\Impl\AccountServiceImpl.java          | Java       |         71 |          0 |         16 |         87 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\Impl\ChatServiceImpl.java             | Java       |         47 |          0 |         13 |         60 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\Impl\ContentServiceImpl.java          | Java       |         35 |          0 |         10 |         45 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\Impl\LoginServiceImpl.java            | Java       |         23 |          0 |          8 |         31 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\Impl\MessageServiceImpl.java          | Java       |          8 |          0 |          4 |         12 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\Impl\MyServiceImpl.java               | Java       |         45 |          0 |         12 |         57 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\Impl\PostServiceImpl.java             | Java       |         59 |          0 |         13 |         72 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\Impl\SearchServiceImpl.java           | Java       |         16 |          0 |          7 |         23 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\Impl\SessionServiceImpl.java          | Java       |         21 |          0 |          8 |         29 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\LoginService.java                     | Java       |          4 |          0 |          4 |          8 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\MessageService.java                   | Java       |          3 |          0 |          3 |          6 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\MyService.java                        | Java       |         10 |          0 |          8 |         18 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\PostService.java                      | Java       |         12 |          0 |          9 |         21 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\SearchService.java                    | Java       |          6 |          0 |          4 |         10 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\java\cn\iwannnn\mutualassistanceplatform\service\SessionService.java                   | Java       |          5 |          0 |          4 |          9 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\resources\application.properties                                                       | Properties |          5 |          0 |          1 |          6 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\main\resources\mybatis-config.xml                                                           | XML        |         10 |          7 |          0 |         17 |
| e:\wx-miniapp\Mutual Assistance Platform\back-end\src\test\java\cn\iwannnn\mutualassistanceplatform\MutualAssistancePlatformApplicationTests.java | Java       |          9 |          0 |          5 |         14 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\app.js                                                                                         | JavaScript |         59 |          7 |          2 |         68 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\app.json                                                                                       | JSON       |         56 |          0 |          0 |         56 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\@miniprogram-component-plus\emoji\index.js                                     | JavaScript |        248 |         21 |         17 |        286 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\@miniprogram-component-plus\emoji\index.json                                   | JSON       |          5 |          0 |          0 |          5 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\actionsheet\actionsheet.js                                    | JavaScript |        153 |         31 |          9 |        193 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\actionsheet\actionsheet.json                                  | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\badge\badge.js                                                | JavaScript |         91 |         17 |          6 |        114 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\badge\badge.json                                              | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\cell\cell.js                                                  | JavaScript |        198 |         22 |         11 |        231 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\cell\cell.json                                                | JSON       |          6 |          0 |          0 |          6 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\cells\cells.js                                                | JavaScript |        151 |         17 |         15 |        183 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\cells\cells.json                                              | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\checkbox-group\checkbox-group.js                              | JavaScript |        187 |         17 |         22 |        226 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\checkbox-group\checkbox-group.json                            | JSON       |          6 |          0 |          0 |          6 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\checkbox\checkbox.js                                          | JavaScript |        152 |         17 |         15 |        184 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\checkbox\checkbox.json                                        | JSON       |          7 |          0 |          1 |          8 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\dialog\dialog.js                                              | JavaScript |        148 |         22 |         12 |        182 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\dialog\dialog.json                                            | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\form-page\form-page.js                                        | JavaScript |        109 |         19 |         10 |        138 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\form-page\form-page.json                                      | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\form\form.js                                                  | JavaScript |        573 |         34 |        138 |        745 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\form\form.json                                                | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\gallery\gallery.js                                            | JavaScript |        157 |         19 |         16 |        192 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\gallery\gallery.json                                          | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\grids\grids.js                                                | JavaScript |        123 |         17 |          9 |        149 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\grids\grids.json                                              | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\half-screen-dialog\half-screen-dialog.js                      | JavaScript |        149 |         24 |         12 |        185 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\half-screen-dialog\half-screen-dialog.json                    | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\icon\icon.js                                                  | JavaScript |        511 |         21 |         37 |        569 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\icon\icon.json                                                | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\index.js                                                      | JavaScript |         77 |         17 |          6 |        100 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\loading\loading.js                                            | JavaScript |        107 |         20 |          7 |        134 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\loading\loading.json                                          | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\msg\msg.js                                                    | JavaScript |        109 |         22 |          6 |        137 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\msg\msg.json                                                  | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.js                              | JavaScript |        165 |         30 |         16 |        211 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.json                            | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\package.json                                                  | JSON       |          7 |          0 |          0 |          7 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\searchbar\searchbar.js                                        | JavaScript |        191 |         32 |         20 |        243 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\searchbar\searchbar.json                                      | JSON       |          7 |          0 |          0 |          7 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\slideview\slideview.js                                        | JavaScript |        175 |         31 |         19 |        225 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\slideview\slideview.json                                      | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\slideview\slideview.wxs                                       | XML        |        243 |          0 |          0 |        243 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\static\icon\s-arrow-back.svg                                  | XML        |         19 |          1 |          1 |         21 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\tabbar\tabbar.js                                              | JavaScript |        112 |         17 |          9 |        138 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\tabbar\tabbar.json                                            | JSON       |          6 |          0 |          0 |          6 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\toptips\toptips.js                                            | JavaScript |        144 |         18 |         12 |        174 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\toptips\toptips.json                                          | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\uploader\uploader.js                                          | JavaScript |        267 |         26 |         23 |        316 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\miniprogram_npm\weui-miniprogram\uploader\uploader.json                                        | JSON       |          6 |          0 |          1 |          7 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\package-lock.json                                                                              | JSON       |         35 |          0 |          1 |         36 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\package.json                                                                                   | JSON       |          6 |          0 |          1 |          7 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\about\about.js                                                                           | JavaScript |         20 |         28 |         18 |         66 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\about\about.json                                                                         | JSON       |          3 |          0 |          0 |          3 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\detail\detail.js                                                                         | JavaScript |         55 |          4 |          1 |         60 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\detail\detail.json                                                                       | JSON       |          3 |          0 |          0 |          3 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\index\index.js                                                                           | JavaScript |        134 |          4 |          2 |        140 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\index\index.json                                                                         | JSON       |          3 |          0 |          0 |          3 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\logs\logs.js                                                                             | JavaScript |         13 |          1 |          2 |         16 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\logs\logs.json                                                                           | JSON       |          4 |          0 |          0 |          4 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\message\chat\chat.js                                                                     | JavaScript |        137 |          7 |          3 |        147 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\message\chat\chat.json                                                                   | JSON       |          3 |          0 |          0 |          3 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\message\message.js                                                                       | JavaScript |         21 |          9 |          2 |         32 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\message\message.json                                                                     | JSON       |          3 |          0 |          0 |          3 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\my\my.js                                                                                 | JavaScript |         81 |          2 |          0 |         83 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\my\my.json                                                                               | JSON       |          3 |          0 |          0 |          3 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\my\myHelp\detail\detail.js                                                               | JavaScript |         50 |          1 |          1 |         52 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\my\myHelp\detail\detail.json                                                             | JSON       |          3 |          0 |          0 |          3 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\my\myHelp\myHelp.js                                                                      | JavaScript |         57 |          1 |          1 |         59 |
| e:\wx-miniapp\Mutual Assistance Platform\front-end\pages\my\myHelp\myHelp.json                                                                    | JSON       |          3 |          0 |          0 |          3 |
